
          l p* Gaussian Student-t    Slash Contaminated normal Hyperbolic  Laplace
DIC       1  1 15282.55  14375.21 14425.29            14396.79   14395.60 14381.78
DIC       1  2 15220.12  14315.09 14363.97            14344.12   14334.24 14316.47
DIC       1  3 15196.66  14293.31 14343.04            14325.71   14313.12 14293.32
DIC       1  4 15178.77  14278.53 14326.93            14307.45   14295.88 14273.50
DIC       1  5 15170.26  14269.13 14317.66            14297.92   14289.50 14267.60
DIC       2  1 14013.96  13683.13 13619.62            13683.63   13562.69 13650.42
DIC       2  2 13952.70  13548.22 13579.69            13641.00   13604.17 13601.45
DIC       2  3 13904.09  13600.58 13635.98            13502.16   13578.42 13577.35
DIC       2  4 13895.11  13485.25 13520.46            13588.30   13558.03 13553.79
DIC       2  5 13875.70  13481.20 13620.92            13482.82   13545.53 13539.80
DIC       3  1 13894.88  13483.08 13522.16            13491.84   13469.16 13456.87
DIC       3  2 13793.21  13444.82 13482.09            13455.81   13432.81 13431.15
DIC       3  3 13755.91  13428.31 13462.31            13435.02   13398.47 13413.03
DIC       3  4 13737.56  13409.17 13442.20            13417.48   13398.97 13397.15
DIC       3  5 13711.36  13387.62 13430.87            13403.14   13372.24 13368.12
WAIC      1  1 15289.02  14377.80 14428.78            14404.08   14398.10 14385.34
WAIC      1  2 15227.94  14319.81 14370.00            14354.59   14337.45 14321.93
WAIC      1  3 15204.16  14298.48 14350.34            14339.27   14315.99 14299.25
WAIC      1  4 15187.00  14285.25 14335.65            14321.68   14299.79 14280.43
WAIC      1  5 15178.97  14277.14 14328.04            14314.19   14294.28 14273.90
WAIC      2  1 14024.81  13688.26 13625.07            13693.54   13578.16 13658.41
WAIC      2  2 13966.90  13564.47 13588.35            13654.24   13613.58 13615.68
WAIC      2  3 13918.86  13612.32 13647.63            13520.38   13596.33 13601.12
WAIC      2  4 13911.22  13496.65 13531.69            13606.32   13575.06 13577.52
WAIC      2  5 13891.86  13495.32 13636.65            13505.36   13563.43 13563.06
WAIC      3  1 13910.11  13497.37 13536.74            13502.45   13478.78 13482.72
WAIC      3  2 13860.44  13466.01 13503.80            13472.18   13451.20 13454.73
WAIC      3  3 13793.01  13453.72 13486.39            13457.35   13421.98 13442.42
WAIC      3  4 13773.52  13438.02 13470.67            13443.45   13429.39 13435.37
WAIC      3  5 13759.22  13431.43 13462.86            13440.76   13408.34 13413.19
RMSE      1  1     7.39     10.21    10.23                9.44      10.47    10.71
RMSE      1  2     7.30     10.06    10.17                9.97      10.37    10.98
RMSE      1  3     7.07      9.48     9.28                9.46       9.96    10.37
RMSE      1  4     6.58      9.01    15.06                9.00       9.24     9.71
RMSE      1  5     6.69      8.63     9.59                8.59       8.93     9.28
RMSE      2  1     5.77      7.37     6.64                7.58       7.57     7.75
RMSE      2  2     5.85      6.90     6.67                7.58       7.60     7.45
RMSE      2  3     5.92      7.12     7.03                6.79       7.20     7.36
RMSE      2  4     5.46      6.32     5.97                7.29       7.11     7.11
RMSE      2  5     5.55      5.97     7.23                6.48       7.24     7.03
RMSE      3  1     6.14      6.11     5.97                6.37       6.44     6.29
RMSE      3  2     6.13      5.94     5.90                6.36       6.20     6.22
RMSE      3  3     6.00      5.73     5.96                5.89       5.85     5.93
RMSE      3  4     5.98      5.32     5.31                5.48       5.48     5.32
RMSE      3  5     6.84      5.44     5.57                5.29       5.33     5.36
log-score 1  1     5.82      5.39     5.40                5.33       5.44     5.44
log-score 1  2     5.77      5.30     5.31                5.24       5.33     5.34
log-score 1  3     5.75      5.25     5.27                5.21       5.29     5.29
log-score 1  4     5.76      5.28     5.29                5.26       5.32     5.32
log-score 1  5     5.75      5.29     5.31                5.28       5.32     5.32
log-score 2  1     5.30      5.33     5.12                5.35       5.14     5.34
log-score 2  2     5.26      5.09     5.09                5.29       5.30     5.30
log-score 2  3     5.18      5.16     5.16                5.03       5.19     5.20
log-score 2  4     5.16      4.96     4.94                5.14       5.14     5.14
log-score 2  5     5.20      5.03     5.21                5.08       5.24     5.24
log-score 3  1     5.29      5.16     5.15                5.29       5.21     5.22
log-score 3  2     5.27      5.14     5.14                5.25       5.17     5.18
log-score 3  3     5.19      5.02     5.01                5.15       5.05     5.08
log-score 3  4     5.20      4.98     4.98                5.12       5.04     5.05
log-score 3  5     5.28      5.11     5.15                5.27       5.14     5.14

